"Name","Team","H","2B","3B","HR","AVG","BB%","K%","OPS","ISO","BABIP","LD%","GB%","FB%","HR/FB","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","wFB","wSL","wCB","wCH","wFB/C","wSL/C","wCB/C","wCH/C","FB%","FBv","SL%","SLv","CB%","CBv","CH%","CHv","wRC+","wOBA","Bat","WAR","WPA","playerid"
"Mike Trout","Angels","580","108","14","146",".307","18.4 %","19.7 %","1.055",".303",".336","22.7 %","33.7 %","43.7 %","23.2 %","40.8 %","34.7 %","24.5 %","14.7 %","43.1 %","42.1 %","121.6","26.5","21.8","35.2","2.03","1.63","2.41","4.43","59.0 %","92.9","16.0 %","84.5","8.9 %","79.0","7.8 %","84.2","180",".434","234.2","34.9","21.60","10155"
"J.D. Martinez","- - -","635","131","9","146",".312","10.5 %","23.4 %",".985",".288",".357","21.4 %","42.0 %","36.6 %","26.3 %","39.4 %","32.8 %","27.8 %","11.3 %","43.6 %","45.2 %","104.8","3.5","12.0","23.1","2.27","0.19","1.32","2.84","51.9 %","93.1","21.1 %","84.4","10.3 %","79.3","9.1 %","83.9","154",".406","154.8","15.2","10.31","6184"
"Aaron Judge","Yankees","387","66","4","110",".273","16.1 %","31.6 %",".952",".285",".357","23.4 %","38.4 %","38.2 %","32.5 %","40.6 %","32.0 %","27.5 %","11.3 %","40.1 %","48.6 %","78.4","6.2","11.9","9.9","2.12","0.38","1.84","1.26","49.8 %","93.4","22.2 %","84.6","8.7 %","79.8","10.6 %","84.1","152",".397","110.5","17.8","7.42","15640"
"Juan Soto","Nationals","274","57","6","56",".287","16.2 %","20.0 %",".937",".248",".323","19.6 %","46.8 %","33.6 %","23.1 %","38.0 %","35.1 %","26.9 %","15.9 %","45.6 %","38.5 %","56.4","-5.1","7.2","6.5","2.43","-0.56","1.37","0.96","48.2 %","93.4","18.7 %","84.7","10.9 %","78.9","14.0 %","85.3","143",".393","63.7","8.5","7.66","20123"
"Christian Yelich","- - -","690","137","15","119",".308","11.6 %","20.4 %",".934",".234",".354","22.1 %","52.1 %","25.8 %","26.8 %","35.7 %","37.0 %","27.3 %","15.7 %","41.9 %","42.5 %","100.4","9.5","12.7","22.4","1.82","0.59","1.10","1.57","53.1 %","92.8","15.6 %","84.7","11.1 %","78.4","13.7 %","84.9","147",".392","152.2","25.4","19.90","11477"
"Freddie Freeman","Braves","680","156","14","123",".303","12.2 %","20.1 %",".944",".246",".346","28.7 %","35.1 %","36.2 %","19.6 %","39.9 %","32.0 %","28.1 %","12.0 %","45.3 %","42.7 %","106.2","5.2","26.5","16.8","2.05","0.30","2.77","1.16","51.6 %","93.1","16.9 %","84.9","9.5 %","78.6","14.4 %","85.1","144",".392","144.5","19.8","15.53","5361"
"Charlie Blackmon","Rockies","764","143","33","127",".315","7.7 %","17.6 %",".934",".243",".346","24.0 %","39.5 %","36.5 %","17.8 %","42.8 %","33.2 %","24.1 %","16.9 %","45.7 %","37.3 %","95.3","26.9","31.9","24.3","1.56","1.68","3.65","2.04","57.8 %","92.5","15.1 %","84.2","8.3 %","78.2","11.2 %","84.5","129",".391","99.8","16.1","11.29","7859"
"Nolan Arenado","Rockies","729","147","17","157",".303","9.8 %","15.6 %",".947",".271",".309","19.9 %","36.2 %","43.9 %","17.8 %","41.5 %","34.6 %","24.0 %","16.1 %","44.1 %","39.8 %","90.4","19.3","17.5","25.3","1.66","0.92","1.68","2.71","52.9 %","93.0","20.4 %","84.8","10.1 %","78.7","9.1 %","84.0","129",".391","99.5","22.4","14.75","9777"
"Joey Votto","Reds","640","128","6","92",".299","16.3 %","16.3 %",".910",".194",".333","26.6 %","39.2 %","34.2 %","15.5 %","36.8 %","34.5 %","28.7 %","10.4 %","50.4 %","39.2 %","99.0","4.9","22.0","6.9","1.60","0.37","2.39","0.58","58.7 %","92.8","12.5 %","84.1","8.7 %","78.2","11.3 %","84.7","139",".388","129.0","15.8","10.99","4314"
"Josh Donaldson","- - -","464","100","5","115",".269","15.2 %","21.2 %",".918",".263",".295","19.8 %","41.0 %","39.1 %","22.7 %","46.4 %","29.6 %","24.0 %","16.5 %","41.9 %","41.7 %","85.1","11.5","6.1","7.1","1.90","0.66","0.74","0.82","51.8 %","93.2","20.1 %","84.8","9.5 %","79.1","10.0 %","84.4","143",".387","110.9","18.9","10.14","5038"
"Kris Bryant","Cubs","597","136","11","112",".286","11.9 %","21.8 %",".912",".237",".334","22.2 %","34.5 %","43.3 %","16.6 %","45.4 %","33.1 %","21.5 %","16.7 %","47.9 %","35.4 %","101.9","17.8","4.4","7.5","2.04","0.92","0.47","0.67","52.3 %","93.3","20.2 %","85.3","9.7 %","78.6","11.6 %","84.3","140",".386","124.7","21.7","8.84","15429"
"Nelson Cruz","- - -","603","99","2","160",".285","10.0 %","22.8 %",".926",".275",".311","18.3 %","42.2 %","39.5 %","25.6 %","41.2 %","35.5 %","23.3 %","14.9 %","42.8 %","42.3 %","87.7","-3.5","5.4","21.5","1.82","-0.17","0.61","2.26","50.3 %","92.9","21.8 %","84.1","9.4 %","79.3","9.9 %","83.5","147",".385","140.7","14.9","11.70","2434"
"Mookie Betts","Red Sox","736","175","17","116",".305","11.0 %","12.7 %",".917",".230",".314","20.3 %","37.2 %","42.5 %","13.1 %","43.5 %","34.8 %","21.8 %","15.1 %","46.3 %","38.6 %","91.0","24.4","12.2","26.2","1.53","1.12","1.37","2.46","54.2 %","93.0","19.7 %","84.4","8.1 %","79.2","9.7 %","83.8","139",".385","130.7","30.7","16.52","13611"
"Jose Altuve","Astros","738","137","14","92",".326","8.5 %","12.5 %",".909",".195",".345","22.3 %","45.8 %","31.9 %","14.9 %","44.2 %","35.0 %","20.8 %","16.5 %","49.7 %","33.7 %","74.4","14.6","15.5","6.3","1.65","0.90","1.60","0.68","51.1 %","92.7","18.4 %","84.4","10.9 %","78.6","10.5 %","83.8","147",".384","144.8","22.8","8.50","5417"
