"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"848",592450,"Aaron Judge","7435","11.4","0.452","0.472","0.365","0.924","0.564","0.583","0.449","378","837","95.5","14.3","2250","89.5","88.97","0","848","0","-0.5","5.98","108","153","121","147","307","329","296"
"1507",443558,"Nelson Cruz","9603","15.7","0.395","0.383","0.320","0.778","0.483","0.499","0.386","588","1487","93.9","13.3","2241","89.2","88.61","0","1507","0","-0.6","6.00","107","151","119","146","303","324","296"
"651",608336,"Joey Gallo","6043","10.8","0.378","0.548","0.268","0.926","0.535","0.567","0.397","246","650","93.5","22.4","2207","88.1","87.65","0","651","0","-0.5","5.99","116","165","135","154","303","330","305"
"468",660271,"Shohei Ohtani","3138","14.9","0.422","0.371","0.364","0.793","0.504","0.488","0.403","196","464","93.2","10.5","2208","88.9","88.37","0","468","0","-0.5","5.91","115","149","122","150","297","324","307"
"1105",519317,"Giancarlo Stanton","7885","14.0","0.401","0.420","0.320","0.821","0.502","0.481","0.381","437","1090","93.1","12.3","2215","88.9","88.42","0","1105","0","-0.5","6.03","108","152","120","146","307","327","301"
"491",614177,"Franmil Reyes","3279","15.0","0.398","0.377","0.321","0.775","0.484","0.472","0.380","193","485","93.0","9.0","2239","88.7","88.23","0","491","0","-0.5","5.97","110","152","120","147","306","326","299"
"829",593934,"Miguel Sano","7248","11.4","0.423","0.442","0.345","0.865","0.531","0.500","0.381","348","822","93.0","15.8","2229","89.0","88.60","0","829","0","-0.4","6.03","106","151","118","145","303","325","296"
"443",120074,"David Ortiz","2479","17.9","0.367","0.358","0.303","0.725","0.449","0.459","0.361","160","436","92.9","17.0","2191","89.9","89.20","0","443","0","-0.7","6.00","114","168","139","149","292","325","309"
"870",621566,"Matt Olson","6152","14.1","0.359","0.373","0.286","0.731","0.452","0.461","0.364","311","867","92.5","18.6","2179","88.4","87.98","0","870","0","-0.4","5.95","115","165","127","151","297","325","303"
"994",656305,"Matt Chapman","6693","14.9","0.360","0.342","0.307","0.702","0.440","0.415","0.344","356","988","92.4","17.2","2246","88.3","87.82","0","994","0","-0.5","5.93","107","151","117","145","302","323","295"
"1014",475582,"Ryan Zimmerman","6094","16.6","0.354","0.275","0.305","0.629","0.407","0.428","0.357","354","1000","92.3","9.7","2198","89.2","88.82","0","1014","0","-0.4","6.08","108","151","116","146","304","321","298"
"1614",592885,"Christian Yelich","10415","15.5","0.418","0.318","0.369","0.735","0.480","0.477","0.410","668","1599","92.2","6.5","2166","89.4","89.05","0","1614","0","-0.3","6.08","114","148","114","149","295","318","302"
"1422",502110,"J.D. Martinez","8915","16.0","0.443","0.410","0.373","0.852","0.532","0.529","0.418","620","1401","92.2","13.6","2227","88.8","88.33","0","1422","0","-0.5","6.01","108","151","118","146","299","327","301"
"1261",434778,"Kendrys Morales","7541","16.7","0.325","0.245","0.276","0.570","0.373","0.440","0.359","406","1249","92.1","10.8","2142","88.1","87.55","0","1261","0","-0.6","5.99","113","162","130","149","297","325","302"
"1269",408234,"Miguel Cabrera","7190","17.6","0.373","0.228","0.333","0.600","0.407","0.456","0.383","468","1256","92.1","12.1","2194","89.0","88.64","0","1269","0","-0.4","6.05","108","151","119","147","304","326","296"
"1417",501981,"Khris Davis","9502","14.9","0.361","0.388","0.280","0.749","0.455","0.489","0.372","504","1396","92.0","15.5","2210","88.1","87.64","0","1417","0","-0.5","6.00","106","151","118","145","304","325","297"
"433",650490,"Yandy Diaz","2499","17.3","0.364","0.201","0.337","0.565","0.388","0.400","0.367","156","428","92.0","5.1","2214","87.8","87.30","0","433","0","-0.5","5.97","108","151","117","147","302","322","290"
"1216",518626,"Josh Donaldson","8676","14.0","0.371","0.366","0.304","0.737","0.458","0.456","0.365","448","1208","91.9","14.6","2207","89.1","88.70","0","1216","0","-0.4","6.03","107","152","118","145","306","327","298"
"980",646240,"Rafael Devers","5356","18.3","0.370","0.289","0.326","0.659","0.429","0.404","0.347","361","976","91.6","10.9","2182","87.9","87.51","0","980","0","-0.4","5.97","115","151","118","150","285","324","307"
"1040",444432,"Mark Trumbo","6474","16.1","0.351","0.313","0.291","0.664","0.424","0.431","0.357","364","1038","91.6","14.1","2207","89.0","88.57","0","1040","0","-0.4","5.98","108","152","118","146","303","325","294"
"819",660162,"Yoan Moncada","5956","13.8","0.411","0.296","0.372","0.707","0.467","0.444","0.381","335","815","91.5","14.0","2163","88.6","88.42","0","819","0","-0.2","6.06","113","149","112","147","292","320","297"
"447",474892,"Chris Carter","3634","12.3","0.366","0.421","0.276","0.786","0.465","0.495","0.371","159","435","91.5","20.1","2169","88.9","88.55","0","447","0","-0.4","6.07","108","151","116","145","302","321","297"
"578",407812,"Matt Holliday","3569","16.2","0.334","0.287","0.279","0.621","0.395","0.404","0.334","191","572","91.4","11.2","2211","89.3","88.63","0","578","0","-0.7","6.02","109","151","117","147","307","325","296"
"1163",502054,"Tommy Pham","7736","15.0","0.397","0.275","0.354","0.672","0.447","0.448","0.389","459","1157","91.4","7.0","2216","89.5","89.05","0","1163","0","-0.4","6.03","108","151","113","146","304","322","294"
"755",624585,"Jorge Soler","5296","14.3","0.378","0.374","0.308","0.752","0.465","0.467","0.370","282","746","91.4","16.2","2232","88.6","88.30","0","755","0","-0.3","5.99","106","151","118","145","302","325","301"
"1075",592626,"Joc Pederson","7252","14.8","0.328","0.356","0.260","0.684","0.417","0.397","0.329","350","1067","91.3","14.9","2184","89.7","89.36","0","1075","0","-0.3","6.01","117","155","121","151","299","321","305"
"895",656941,"Kyle Schwarber","6816","13.1","0.352","0.396","0.272","0.747","0.451","0.474","0.373","312","887","91.3","15.5","2199","89.9","89.52","0","895","0","-0.4","6.02","118","161","124","151","297","322","304"
"664",606192,"Teoscar Hernandez","4930","13.5","0.377","0.388","0.311","0.764","0.470","0.449","0.348","248","658","91.2","17.5","2228","89.0","88.58","0","664","0","-0.4","6.01","106","151","114","145","298","323","292"
"939",596142,"Gary Sanchez","6382","14.7","0.360","0.403","0.277","0.763","0.461","0.475","0.367","335","931","91.2","15.6","2251","88.5","87.92","0","939","0","-0.6","5.97","108","153","119","146","302","326","295"
"1942",592518,"Manny Machado","10061","19.3","0.347","0.281","0.295","0.628","0.405","0.417","0.350","667","1920","91.2","14.6","2221","89.0","88.58","0","1942","0","-0.4","6.00","108","151","117","145","304","325","295"
"1645",542303,"Marcell Ozuna","9367","17.6","0.368","0.261","0.323","0.629","0.417","0.431","0.368","602","1634","91.2","12.3","2209","89.0","88.67","0","1645","0","-0.3","6.07","108","151","117","146","306","323","298"
"664",493316,"Yoenis Cespedes","4102","16.2","0.379","0.324","0.319","0.703","0.447","0.429","0.355","248","654","91.2","18.6","2193","89.8","89.28","0","664","0","-0.5","6.08","106","152","117","145","301","321","300"
"470",488671,"Alex Avila","4410","10.7","0.395","0.313","0.339","0.708","0.459","0.511","0.403","184","466","91.0","10.6","2189","90.8","90.39","0","470","0","-0.4","6.08","114","162","128","150","292","320","304"
"514",452252,"Adam Lind","2785","18.5","0.338","0.259","0.285","0.597","0.387","0.413","0.342","171","506","91.0","11.5","2132","87.8","87.19","0","514","0","-0.6","6.04","113","158","128","150","292","318","301"
